open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-06-05 01:00:00,36.135,36.407,35.705,35.926,174294.56,2025-06-05 01:59:59.999,6275531.02436,32631,82253.64,2960575.8205900,0
2025-06-05 02:00:00,35.927,36.043,35.407,35.409,131597.36,2025-06-05 02:59:59.999,4697172.25901,27294,61095.24,2181487.3448200,0
2025-06-05 03:00:00,35.409,35.605,35.292,35.45,88007.21,2025-06-05 03:59:59.999,3119707.19146,18532,47090.58,1669518.3768900,0
2025-06-05 04:00:00,35.449,35.75,35.294,35.621,123140.43,2025-06-05 04:59:59.999,4375820.47005,25217,65793.19,2338604.5080800,0
2025-06-05 05:00:00,35.617,35.683,34.959,35.05,135583.27,2025-06-05 05:59:59.999,4771879.01687,28605,51184.20,1803022.2567200,0
2025-06-05 06:00:00,35.053,35.133,34.521,34.569,169560.22,2025-06-05 06:59:59.999,5903975.62334,34362,72669.65,2532165.5946700,0
2025-06-05 07:00:00,34.57,35.056,34.5,34.76,195261.34,2025-06-05 07:59:59.999,6792134.0614,37982,100732.62,3505343.7424600,0
2025-06-05 08:00:00,34.761,35.288,34.761,35.111,211385.19,2025-06-05 08:59:59.999,7419526.51113,36200,88071.22,3089893.4566700,0
2025-06-05 09:00:00,35.112,35.21,34.865,35.028,91907.45,2025-06-05 09:59:59.999,3219292.43668,21094,41245.26,1445212.8354800,0
2025-06-05 10:00:00,35.025,35.118,34.518,34.888,105983.64,2025-06-05 10:59:59.999,3687161.92823,24397,53188.01,1851494.8973800,0
2025-06-05 11:00:00,34.889,35.298,34.768,35.243,108192.73,2025-06-05 11:59:59.999,3796647.086,25964,61551.15,2160293.5390100,0
2025-06-05 12:00:00,35.242,35.708,34.965,35.563,254524.59,2025-06-05 12:59:59.999,8997526.19583,42047,161296.81,5704377.8649800,0
2025-06-05 13:00:00,35.563,35.683,34.647,34.713,262685.52,2025-06-05 13:59:59.999,9235299.7834,46550,118185.74,4156300.3078100,0
2025-06-05 14:00:00,34.713,35.091,34.245,34.818,514773.55,2025-06-05 14:59:59.999,17828858.15744,73991,257206.09,8915242.2180200,0
2025-06-05 15:00:00,34.818,35.111,34.498,34.965,171967.59,2025-06-05 15:59:59.999,5988522.63542,33106,85704.90,2985496.9737500,0
2025-06-05 16:00:00,34.965,34.976,33.75,33.801,379266.71,2025-06-05 16:59:59.999,12993822.10737,56756,195056.77,6682835.1990300,0
2025-06-05 17:00:00,33.804,34.509,33.793,33.981,376948.06,2025-06-05 17:59:59.999,12890566.65002,55887,187043.75,6393803.8616900,0
2025-06-05 18:00:00,33.986,34.377,33.685,34.243,349670.66,2025-06-05 18:59:59.999,11893351.50388,52405,146755.86,4996548.3882900,0
2025-06-05 19:00:00,34.245,34.285,32.907,33.516,527349.75,2025-06-05 19:59:59.999,17670293.32079,69655,219288.24,7347620.8414600,0
2025-06-05 20:00:00,33.522,33.727,32.626,32.817,687919.34,2025-06-05 20:59:59.999,22737234.09311,90742,318372.45,10529952.0212200,0
2025-06-05 21:00:00,32.818,34.279,32.688,33.986,544207.03,2025-06-05 21:59:59.999,18251331.5915,75177,325653.51,10932757.8628400,0
2025-06-05 22:00:00,33.986,34.698,33.691,34.374,336606.98,2025-06-05 22:59:59.999,11555521.66221,52203,175850.08,6035479.0432100,0
2025-06-05 23:00:00,34.374,34.64,34.0,34.024,200157.15,2025-06-05 23:59:59.999,6869525.61838,33235,85772.28,2944140.0906700,0
2025-06-06 00:00:00,34.025,34.235,33.752,34.146,205590.04,2025-06-06 00:59:59.999,6999829.28651,36339,94480.91,3218385.9841800,0
2025-06-06 01:00:00,34.146,34.281,33.722,33.745,152429.14,2025-06-06 01:59:59.999,5181916.5857,26555,64937.71,2207965.6598500,0
2025-06-06 02:00:00,33.748,34.098,33.487,34.093,179468.37,2025-06-06 02:59:59.999,6061536.5304,30301,80620.75,2724997.4198300,0
2025-06-06 03:00:00,34.093,34.497,33.917,34.481,112306.78,2025-06-06 03:59:59.999,3841507.49082,19959,64315.86,2201110.7472400,0
2025-06-06 04:00:00,34.488,35.024,34.24,34.81,232477.4,2025-06-06 04:59:59.999,8054255.79564,34568,125740.37,4357517.2769800,0
2025-06-06 05:00:00,34.808,34.991,34.391,34.967,208898.58,2025-06-06 05:59:59.999,7243978.13957,30771,108095.66,3749337.3764700,0
2025-06-06 06:00:00,34.966,34.994,34.392,34.538,196424.73,2025-06-06 06:59:59.999,6821394.03553,29972,91850.23,3189694.8280400,0
2025-06-06 07:00:00,34.539,34.889,34.507,34.632,99036.08,2025-06-06 07:59:59.999,3436886.44807,22305,51430.78,1784548.7401700,0
2025-06-06 08:00:00,34.633,34.946,34.48,34.503,147069.44,2025-06-06 08:59:59.999,5113531.76323,26327,69393.40,2413264.8876600,0
2025-06-06 09:00:00,34.503,34.756,34.291,34.63,108685.27,2025-06-06 09:59:59.999,3754364.60434,21995,58038.59,2005697.6355000,0
2025-06-06 10:00:00,34.629,34.913,34.556,34.568,100593.33,2025-06-06 10:59:59.999,3493396.58944,21244,48691.78,1691085.3449900,0
2025-06-06 11:00:00,34.566,34.731,34.362,34.435,107668.82,2025-06-06 11:59:59.999,3716704.69296,22265,58512.47,2020190.1585800,0
2025-06-06 12:00:00,34.439,34.631,34.141,34.533,225189.97,2025-06-06 12:59:59.999,7747566.37687,38463,97095.64,3341757.0989000,0
2025-06-06 13:00:00,34.539,35.527,34.53,35.131,407133.0,2025-06-06 13:59:59.999,14265055.22781,51325,230801.87,8084301.5311400,0
2025-06-06 14:00:00,35.131,35.613,34.933,35.204,412577.69,2025-06-06 14:59:59.999,14570227.19911,53719,218287.25,7709769.2190700,0
2025-06-06 15:00:00,35.198,35.232,34.626,35.008,364880.02,2025-06-06 15:59:59.999,12755780.77576,44771,200410.07,7006855.2267000,0
2025-06-06 16:00:00,35.008,35.028,34.458,34.495,124501.86,2025-06-06 16:59:59.999,4328708.52332,22074,48327.36,1681322.9670600,0
2025-06-06 17:00:00,34.495,34.631,33.415,34.26,714435.35,2025-06-06 17:59:59.999,24252631.5935,83730,353536.69,12006193.8271300,0
2025-06-06 18:00:00,34.26,34.748,34.007,34.107,194758.35,2025-06-06 18:59:59.999,6678391.79754,32315,106583.50,3657586.7856100,0
2025-06-06 19:00:00,34.107,34.228,33.513,33.792,215659.21,2025-06-06 19:59:59.999,7290576.31698,30857,89043.94,3011545.3748100,0
2025-06-06 20:00:00,33.792,34.117,33.504,33.71,134393.74,2025-06-06 20:59:59.999,4552513.2623,23816,76599.87,2596990.7160900,0
2025-06-06 21:00:00,33.71,33.962,33.545,33.823,97804.21,2025-06-06 21:59:59.999,3300776.3989,16048,50998.95,1721895.7268800,0
2025-06-06 22:00:00,33.823,33.842,33.09,33.324,183964.58,2025-06-06 22:59:59.999,6132216.71153,30743,77988.78,2599774.1256400,0
2025-06-06 23:00:00,33.325,33.417,33.081,33.333,87860.98,2025-06-06 23:59:59.999,2919771.93473,16335,44072.32,1464362.9489300,0
2025-06-07 00:00:00,33.334,33.818,33.01,33.739,179138.74,2025-06-07 00:59:59.999,5975448.49589,29314,96329.69,3218310.5912100,0
2025-06-07 01:00:00,33.734,33.842,33.355,33.504,143310.09,2025-06-07 01:59:59.999,4818563.26831,25660,66206.74,2225620.4889700,0
2025-06-07 02:00:00,33.504,33.64,33.236,33.606,165197.77,2025-06-07 02:59:59.999,5523917.69479,19862,63279.28,2117502.7795700,0
2025-06-07 03:00:00,33.606,34.196,33.509,33.986,174113.65,2025-06-07 03:59:59.999,5915137.25908,25661,89936.36,3055605.2757900,0
2025-06-07 04:00:00,33.986,34.226,33.818,34.22,78219.55,2025-06-07 04:59:59.999,2657837.40414,17836,37091.35,1261213.1987300,0
2025-06-07 05:00:00,34.216,34.3,34.062,34.14,99021.85,2025-06-07 05:59:59.999,3386461.29204,16746,52536.33,1797538.7042500,0
2025-06-07 06:00:00,34.138,34.246,33.931,34.239,70597.79,2025-06-07 06:59:59.999,2406852.48779,14539,32898.61,1121968.4940500,0
2025-06-07 07:00:00,34.239,34.326,33.933,34.02,157224.99,2025-06-07 07:59:59.999,5371517.53521,19587,46338.27,1583439.6467500,0
2025-06-07 08:00:00,34.022,34.042,33.653,33.698,135834.11,2025-06-07 08:59:59.999,4596715.09643,19292,54058.61,1828717.8827700,0
2025-06-07 09:00:00,33.698,33.771,33.474,33.626,89954.15,2025-06-07 09:59:59.999,3025805.08511,15916,37863.08,1274476.2406600,0
2025-06-07 10:00:00,33.626,34.014,33.582,33.956,108206.43,2025-06-07 10:59:59.999,3663830.93082,18179,53660.60,1816832.3269900,0
2025-06-07 11:00:00,33.954,34.023,33.743,33.852,71807.76,2025-06-07 11:59:59.999,2434582.57967,14294,36805.52,1248045.0084200,0
2025-06-07 12:00:00,33.853,34.353,33.831,34.193,149849.31,2025-06-07 12:59:59.999,5121927.19171,24149,77888.40,2662709.0944500,0
2025-06-07 13:00:00,34.199,34.487,34.064,34.329,111514.37,2025-06-07 13:59:59.999,3825582.36912,23929,60336.67,2070670.4483600,0
2025-06-07 14:00:00,34.329,34.878,34.279,34.727,243340.68,2025-06-07 14:59:59.999,8430524.15962,36720,134605.74,4663086.8737200,0
2025-06-07 15:00:00,34.728,34.933,34.65,34.687,135044.23,2025-06-07 15:59:59.999,4698425.94413,23453,60855.82,2117890.7639000,0
2025-06-07 16:00:00,34.688,34.934,34.465,34.498,128848.09,2025-06-07 16:59:59.999,4472127.7431,23529,53308.13,1851224.4289500,0
2025-06-07 17:00:00,34.501,34.979,34.467,34.591,135938.81,2025-06-07 17:59:59.999,4722749.24639,21105,66966.74,2326384.4353100,0
2025-06-07 18:00:00,34.598,34.733,34.327,34.47,120913.23,2025-06-07 18:59:59.999,4173033.34203,19057,63598.43,2195691.4911500,0
2025-06-07 19:00:00,34.469,34.622,34.369,34.38,46975.49,2025-06-07 19:59:59.999,1620379.19567,10773,24876.20,858336.0778200,0
2025-06-07 20:00:00,34.38,34.591,34.361,34.445,40812.24,2025-06-07 20:59:59.999,1407070.12972,9129,23018.36,793531.3495000,0
2025-06-07 21:00:00,34.446,34.766,34.415,34.604,56857.21,2025-06-07 21:59:59.999,1968250.2514,11379,32469.24,1123954.6868500,0
2025-06-07 22:00:00,34.603,35.162,34.603,35.129,103372.21,2025-06-07 22:59:59.999,3607083.40949,17964,64816.70,2261307.2019600,0
2025-06-07 23:00:00,35.127,35.131,34.809,34.921,63565.2,2025-06-07 23:59:59.999,2223084.29401,14631,27623.95,966132.9620200,0
2025-06-08 00:00:00,34.917,34.994,34.563,34.563,69453.23,2025-06-08 00:59:59.999,2413376.27175,13518,28495.47,989994.8554800,0
2025-06-08 01:00:00,34.564,34.891,34.491,34.689,120590.47,2025-06-08 01:59:59.999,4180129.42112,18634,65730.63,2277660.1261500,0
2025-06-08 02:00:00,34.689,35.0,34.595,34.785,68944.21,2025-06-08 02:59:59.999,2399424.85028,16062,34455.72,1199049.4496100,0
2025-06-08 03:00:00,34.785,35.374,34.781,35.214,150778.34,2025-06-08 03:59:59.999,5301095.37942,22666,76504.90,2690111.7824300,0
2025-06-08 04:00:00,35.214,35.377,35.022,35.263,86346.51,2025-06-08 04:59:59.999,3039133.91488,17012,45048.60,1586163.3680000,0
2025-06-08 05:00:00,35.264,35.386,35.072,35.088,95255.81,2025-06-08 05:59:59.999,3356769.62707,17956,45681.52,1610524.9577000,0
